ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:2	And the earth was waste and void; and darkness was upon the face of the deep: and the spirit of God moved upon the face of the waters.
Genesis 1:3	And God said, Let there be light: and there was light.
Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Genesis 1:5	And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
Genesis 1:6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
Genesis 1:7	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
Genesis 1:8	And God called the firmament Heaven. And there was evening and there was morning, a second day.
Genesis 1:9	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.
Genesis 1:10	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
Genesis 1:11	And God said, Let the earth put forth grass, herb yielding seed, and fruit tree bearing fruit after its kind, wherein is the seed thereof, upon the earth: and it was so.
Genesis 1:12	And the earth brought forth grass, herb yielding seed after its kind, and tree bearing fruit, wherein is the seed thereof, after its kind: and God saw that it was good.
Genesis 1:13	And there was evening and there was morning, a third day.
Genesis 1:14	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years:
Genesis 1:15	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
Genesis 1:16	And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
Genesis 1:17	And God set them in the firmament of the heaven to give light upon the earth,
Genesis 1:18	and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
Genesis 1:19	And there was evening and there was morning, a fourth day.
Genesis 1:20	And God said, Let the waters bring forth abundantly the moving creature that hath life, and let fowl fly above the earth in the open firmament of heaven.
Genesis 1:21	And God created the great sea-monsters, and every living creature that moveth, which the waters brought forth abundantly, after their kinds, and every winged fowl after its kind: and God saw that it was good.
Genesis 1:22	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.
Genesis 1:23	And there was evening and there was morning, a fifth day.
Genesis 1:24	And God said, Let the earth bring forth the living creature after its kind, cattle, and creeping thing, and beast of the earth after its kind: and it was so.
Genesis 1:25	And God made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind: and God saw that it was good.
Genesis 1:26	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.
Genesis 1:27	And God created man in his own image, in the image of God created he him; male and female created he them.
Genesis 1:28	And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.
Genesis 1:29	And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat:
Genesis 1:30	and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.
Genesis 1:31	And God saw every thing that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
Genesis 2:1	And the heaven and the earth were finished, and all the host of them.
Genesis 2:2	And on the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made.
Genesis 2:3	And God blessed the seventh day, and hallowed it: because that in it he rested from all his work which God had created and made.
